 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-05-14-09-00-00;18;4;14
2015-05-14-09-15-00;24;7;17
2015-05-14-09-30-00;31;10;21
2015-05-14-09-45-00;35;13;22
2015-05-14-10-00-00;56;17;39
2015-05-14-10-15-00;43;15;28
2015-05-14-10-30-00;41;10;31
2015-05-14-10-45-00;54;16;38
2015-05-14-11-00-00;60;14;46
2015-05-14-11-15-00;61;17;44
2015-05-14-11-30-00;50;13;37
2015-05-14-11-45-00;49;11;38
2015-05-14-12-00-00;72;8;64
2015-05-14-12-15-00;86;20;66
2015-05-14-12-30-00;90;21;69
2015-05-14-12-45-00;92;19;73
2015-05-14-13-00-00;80;13;67
2015-05-14-13-15-00;78;17;61
2015-05-14-13-30-00;93;20;73
2015-05-14-13-45-00;105;20;85
2015-05-14-14-00-00;105;14;91
2015-05-14-14-15-00;107;22;85
2015-05-14-14-30-00;112;29;83
2015-05-14-14-45-00;109;26;83
2015-05-14-15-00-00;92;9;83
2015-05-14-15-15-00;72;13;59
2015-05-14-15-30-00;85;12;73
2015-05-14-15-45-00;89;26;63
2015-05-14-16-00-00;109;13;96
2015-05-14-16-15-00;107;24;83
2015-05-14-16-30-00;100;16;84
2015-05-14-16-45-00;100;21;79
2015-05-14-17-00-00;84;13;71
2015-05-14-17-15-00;110;25;85
2015-05-14-17-30-00;95;24;71
2015-05-14-17-45-00;91;26;65
2015-05-14-18-00-00;61;10;51
2015-05-14-18-15-00;101;27;74
2015-05-14-18-30-00;80;25;55
2015-05-14-18-45-00;71;19;52
2015-05-14-19-00-00;54;13;41
2015-05-14-19-15-00;42;17;25
2015-05-14-19-30-00;36;20;16
2015-05-14-19-45-00;40;19;21
2015-05-14-20-00-00;32;6;26
2015-05-14-20-15-00;21;4;17
2015-05-14-20-30-00;23;10;13
2015-05-14-20-45-00;13;2;11
2015-05-14-21-00-00;25;5;20
2015-05-14-21-15-00;22;4;18
2015-05-14-21-30-00;21;7;14
2015-05-14-21-45-00;29;4;25
2015-05-14-22-00-00;18;5;13
2015-05-14-22-15-00;18;1;17
2015-05-14-22-30-00;17;4;13
2015-05-14-22-45-00;12;4;8
2015-05-14-23-00-00;8;1;7
2015-05-14-23-15-00;24;5;19
2015-05-14-23-30-00;14;2;12
2015-05-14-23-45-00;7;1;6
2015-05-15-00-00-00;9;0;9
2015-05-15-00-15-00;9;1;8
2015-05-15-00-30-00;6;1;5
2015-05-15-00-45-00;4;0;4
2015-05-15-01-00-00;3;1;2
2015-05-15-01-15-00;2;0;2
2015-05-15-01-30-00;5;1;4
2015-05-15-01-45-00;4;2;2
2015-05-15-02-00-00;2;0;2
2015-05-15-02-15-00;0;0;0
2015-05-15-02-30-00;3;2;1
2015-05-15-02-45-00;2;0;2
2015-05-15-03-00-00;0;0;0
2015-05-15-03-15-00;0;0;0
2015-05-15-03-30-00;1;1;0
2015-05-15-03-45-00;1;0;1
2015-05-15-04-00-00;1;1;0
2015-05-15-04-15-00;4;3;1
2015-05-15-04-30-00;3;0;3
2015-05-15-04-45-00;4;0;4
2015-05-15-05-00-00;1;1;0
2015-05-15-05-15-00;2;2;0
2015-05-15-05-30-00;6;5;1
2015-05-15-05-45-00;8;5;3
2015-05-15-06-00-00;10;5;5
2015-05-15-06-15-00;15;10;5
2015-05-15-06-30-00;15;8;7
2015-05-15-06-45-00;16;3;13
2015-05-15-07-00-00;16;10;6
2015-05-15-07-15-00;41;15;26
2015-05-15-07-30-00;38;19;19
2015-05-15-07-45-00;42;21;21
2015-05-15-08-00-00;41;21;20
2015-05-15-08-15-00;45;21;24
2015-05-15-08-30-00;50;26;24
2015-05-15-08-45-00;44;20;24
2015-05-15-09-00-00;47;25;22
2015-05-15-09-15-00;33;16;17
2015-05-15-09-30-00;49;21;28
2015-05-15-09-45-00;39;22;17
2015-05-15-10-00-00;63;27;36
2015-05-15-10-15-00;55;26;29
2015-05-15-10-30-00;46;20;26
2015-05-15-10-45-00;45;19;26
2015-05-15-11-00-00;42;21;21
2015-05-15-11-15-00;55;27;28
2015-05-15-11-30-00;45;11;34
2015-05-15-11-45-00;54;21;33
2015-05-15-12-00-00;55;19;36
2015-05-15-12-15-00;76;22;54
2015-05-15-12-30-00;71;17;54
2015-05-15-12-45-00;81;36;45
2015-05-15-13-00-00;71;16;55
2015-05-15-13-15-00;75;18;57
2015-05-15-13-30-00;70;11;59
2015-05-15-13-45-00;87;12;75
2015-05-15-14-00-00;81;12;69
2015-05-15-14-15-00;96;23;73
2015-05-15-14-30-00;69;14;55
2015-05-15-14-45-00;111;16;95
2015-05-15-15-00-00;104;23;81
2015-05-15-15-15-00;97;20;77
2015-05-15-15-30-00;120;25;95
2015-05-15-15-45-00;80;12;68
2015-05-15-16-00-00;95;23;72
2015-05-15-16-15-00;91;23;68
2015-05-15-16-30-00;96;19;77
2015-05-15-16-45-00;100;19;81
2015-05-15-17-00-00;91;21;70
2015-05-15-17-15-00;136;21;115
2015-05-15-17-30-00;93;24;69
2015-05-15-17-45-00;107;19;88
2015-05-15-18-00-00;122;27;95
2015-05-15-18-15-00;86;16;70
2015-05-15-18-30-00;109;25;84
2015-05-15-18-45-00;97;23;74
2015-05-15-19-00-00;80;26;54
2015-05-15-19-15-00;79;16;63
2015-05-15-19-30-00;91;21;70
2015-05-15-19-45-00;71;18;53
2015-05-15-20-00-00;76;15;61
2015-05-15-20-15-00;60;16;44
2015-05-15-20-30-00;63;24;39
2015-05-15-20-45-00;56;23;33
2015-05-15-21-00-00;42;10;32
2015-05-15-21-15-00;52;6;46
2015-05-15-21-30-00;43;7;36
2015-05-15-21-45-00;40;6;34
2015-05-15-22-00-00;25;5;20
2015-05-15-22-15-00;33;8;25
2015-05-15-22-30-00;31;8;23
2015-05-15-22-45-00;26;5;21
2015-05-15-23-00-00;24;9;15
2015-05-15-23-15-00;35;5;30
2015-05-15-23-30-00;23;7;16
2015-05-15-23-45-00;11;3;8
2015-05-16-00-00-00;10;4;6
2015-05-16-00-15-00;18;2;16
2015-05-16-00-30-00;20;4;16
2015-05-16-00-45-00;13;1;12
2015-05-16-01-00-00;21;6;15
2015-05-16-01-15-00;12;1;11
2015-05-16-01-30-00;14;3;11
2015-05-16-01-45-00;12;5;7
2015-05-16-02-00-00;15;4;11
2015-05-16-02-15-00;3;0;3
2015-05-16-02-30-00;4;2;2
2015-05-16-02-45-00;8;2;6
2015-05-16-03-00-00;5;2;3
2015-05-16-03-15-00;6;0;6
2015-05-16-03-30-00;2;0;2
2015-05-16-03-45-00;8;1;7
2015-05-16-04-00-00;3;1;2
2015-05-16-04-15-00;4;1;3
2015-05-16-04-30-00;3;0;3
2015-05-16-04-45-00;5;1;4
2015-05-16-05-00-00;3;0;3
2015-05-16-05-15-00;1;1;0
2015-05-16-05-30-00;3;1;2
2015-05-16-05-45-00;4;2;2
2015-05-16-06-00-00;4;3;1
2015-05-16-06-15-00;7;3;4
2015-05-16-06-30-00;4;2;2
2015-05-16-06-45-00;6;2;4
2015-05-16-07-00-00;4;0;4
2015-05-16-07-15-00;5;2;3
2015-05-16-07-30-00;10;7;3
2015-05-16-07-45-00;16;7;9
2015-05-16-08-00-00;8;4;4
2015-05-16-08-15-00;11;3;8
2015-05-16-08-30-00;16;10;6
2015-05-16-08-45-00;22;8;14
2015-05-16-09-00-00;25;13;12
2015-05-16-09-15-00;16;4;12
2015-05-16-09-30-00;45;24;21
2015-05-16-09-45-00;44;12;32
2015-05-16-10-00-00;53;19;34
2015-05-16-10-15-00;50;28;22
2015-05-16-10-30-00;39;15;24
2015-05-16-10-45-00;84;27;57
2015-05-16-11-00-00;43;16;27
2015-05-16-11-15-00;44;18;26
2015-05-16-11-30-00;66;25;41
2015-05-16-11-45-00;62;21;41
2015-05-16-12-00-00;51;15;36
2015-05-16-12-15-00;50;12;38
2015-05-16-12-30-00;64;17;47
2015-05-16-12-45-00;61;20;41
2015-05-16-13-00-00;64;16;48
2015-05-16-13-15-00;54;12;42
2015-05-16-13-30-00;74;14;60
2015-05-16-13-45-00;56;20;36
2015-05-16-14-00-00;66;13;53
2015-05-16-14-15-00;71;14;57
2015-05-16-14-30-00;57;16;41
2015-05-16-14-45-00;76;18;58
2015-05-16-15-00-00;70;14;56
2015-05-16-15-15-00;65;20;45
2015-05-16-15-30-00;46;11;35
2015-05-16-15-45-00;75;19;56
2015-05-16-16-00-00;51;18;33
2015-05-16-16-15-00;59;13;46
2015-05-16-16-30-00;50;14;36
2015-05-16-16-45-00;54;8;46
2015-05-16-17-00-00;49;9;40
2015-05-16-17-15-00;51;15;36
2015-05-16-17-30-00;71;22;49
2015-05-16-17-45-00;46;11;35
2015-05-16-18-00-00;58;14;44
2015-05-16-18-15-00;48;13;35
2015-05-16-18-30-00;48;7;41
2015-05-16-18-45-00;49;17;32
2015-05-16-19-00-00;35;5;30
2015-05-16-19-15-00;49;13;36
2015-05-16-19-30-00;46;17;29
2015-05-16-19-45-00;39;13;26
2015-05-16-20-00-00;40;8;32
2015-05-16-20-15-00;21;3;18
2015-05-16-20-30-00;13;4;9
2015-05-16-20-45-00;20;4;16
2015-05-16-21-00-00;12;4;8
2015-05-16-21-15-00;15;4;11
2015-05-16-21-30-00;17;4;13
2015-05-16-21-45-00;12;1;11
2015-05-16-22-00-00;11;3;8
2015-05-16-22-15-00;18;6;12
2015-05-16-22-30-00;30;4;26
2015-05-16-22-45-00;12;2;10
2015-05-16-23-00-00;12;2;10
2015-05-16-23-15-00;17;2;15
2015-05-16-23-30-00;11;1;10
2015-05-16-23-45-00;12;1;11
2015-05-17-00-00-00;15;1;14
2015-05-17-00-15-00;12;5;7
2015-05-17-00-30-00;13;2;11
2015-05-17-00-45-00;16;3;13
2015-05-17-01-00-00;6;2;4
2015-05-17-01-15-00;8;0;8
2015-05-17-01-30-00;11;1;10
2015-05-17-01-45-00;5;3;2
2015-05-17-02-00-00;5;0;5
2015-05-17-02-15-00;8;2;6
2015-05-17-02-30-00;13;3;10
2015-05-17-02-45-00;5;2;3
2015-05-17-03-00-00;0;0;0
2015-05-17-03-15-00;6;0;6
2015-05-17-03-30-00;2;0;2
2015-05-17-03-45-00;3;0;3
2015-05-17-04-00-00;1;0;1
2015-05-17-04-15-00;2;0;2
2015-05-17-04-30-00;2;0;2
2015-05-17-04-45-00;1;0;1
2015-05-17-05-00-00;3;0;3
2015-05-17-05-15-00;1;0;1
2015-05-17-05-30-00;3;1;2
2015-05-17-05-45-00;5;1;4
2015-05-17-06-00-00;6;3;3
2015-05-17-06-15-00;1;0;1
2015-05-17-06-30-00;4;3;1
2015-05-17-06-45-00;2;1;1
2015-05-17-07-00-00;2;2;0
2015-05-17-07-15-00;4;2;2
2015-05-17-07-30-00;8;5;3
2015-05-17-07-45-00;6;3;3
2015-05-17-08-00-00;5;0;5
2015-05-17-08-15-00;4;1;3
2015-05-17-08-30-00;9;4;5
2015-05-17-08-45-00;14;3;11
2015-05-17-09-00-00;6;2;4
2015-05-17-09-15-00;22;5;17
2015-05-17-09-30-00;17;4;13
2015-05-17-09-45-00;33;10;23
2015-05-17-10-00-00;29;8;21
2015-05-17-10-15-00;28;12;16
2015-05-17-10-30-00;39;8;31
2015-05-17-10-45-00;51;10;41
2015-05-17-11-00-00;62;18;44
2015-05-17-11-15-00;37;6;31
2015-05-17-11-30-00;42;9;33
2015-05-17-11-45-00;68;13;55
2015-05-17-12-00-00;60;10;50
2015-05-17-12-15-00;53;10;43
2015-05-17-12-30-00;53;6;47
2015-05-17-12-45-00;76;14;62
2015-05-17-13-00-00;59;17;42
2015-05-17-13-15-00;47;13;34
2015-05-17-13-30-00;77;18;59
2015-05-17-13-45-00;73;13;60
2015-05-17-14-00-00;67;10;57
2015-05-17-14-15-00;72;31;41
2015-05-17-14-30-00;53;13;40
2015-05-17-14-45-00;79;32;47
2015-05-17-15-00-00;58;10;48
2015-05-17-15-15-00;64;18;46
2015-05-17-15-30-00;65;17;48
2015-05-17-15-45-00;52;11;41
2015-05-17-16-00-00;53;19;34
2015-05-17-16-15-00;53;10;43
2015-05-17-16-30-00;59;25;34
2015-05-17-16-45-00;65;12;53
2015-05-17-17-00-00;75;14;61
2015-05-17-17-15-00;82;18;64
2015-05-17-17-30-00;73;28;45
2015-05-17-17-45-00;54;12;42
2015-05-17-18-00-00;59;12;47
2015-05-17-18-15-00;49;7;42
2015-05-17-18-30-00;59;21;38
2015-05-17-18-45-00;70;22;48
2015-05-17-19-00-00;55;20;35
2015-05-17-19-15-00;61;24;37
2015-05-17-19-30-00;24;10;14
2015-05-17-19-45-00;52;14;38
2015-05-17-20-00-00;44;14;30
2015-05-17-20-15-00;44;15;29
2015-05-17-20-30-00;33;9;24
2015-05-17-20-45-00;35;13;22
2015-05-17-21-00-00;28;10;18
2015-05-17-21-15-00;25;5;20
2015-05-17-21-30-00;11;2;9
2015-05-17-21-45-00;23;6;17
2015-05-17-22-00-00;16;5;11
2015-05-17-22-15-00;21;9;12
2015-05-17-22-30-00;15;1;14
2015-05-17-22-45-00;17;2;15
2015-05-17-23-00-00;14;3;11
2015-05-17-23-15-00;9;0;9
2015-05-17-23-30-00;6;2;4
2015-05-17-23-45-00;7;3;4
2015-05-18-00-00-00;5;1;4
2015-05-18-00-15-00;1;1;0
2015-05-18-00-30-00;5;2;3
2015-05-18-00-45-00;2;0;2
2015-05-18-01-00-00;1;0;1
2015-05-18-01-15-00;1;0;1
2015-05-18-01-30-00;0;0;0
2015-05-18-01-45-00;0;0;0
2015-05-18-02-00-00;1;0;1
2015-05-18-02-15-00;1;0;1
2015-05-18-02-30-00;2;0;2
2015-05-18-02-45-00;0;0;0
2015-05-18-03-00-00;0;0;0
2015-05-18-03-15-00;0;0;0
2015-05-18-03-30-00;1;0;1
2015-05-18-03-45-00;1;0;1
2015-05-18-04-00-00;1;1;0
2015-05-18-04-15-00;2;2;0
2015-05-18-04-30-00;2;1;1
2015-05-18-04-45-00;5;1;4
2015-05-18-05-00-00;2;0;2
2015-05-18-05-15-00;4;3;1
2015-05-18-05-30-00;19;9;10
2015-05-18-05-45-00;16;8;8
2015-05-18-06-00-00;26;8;18
2015-05-18-06-15-00;31;16;15
2015-05-18-06-30-00;42;16;26
2015-05-18-06-45-00;43;18;25
2015-05-18-07-00-00;48;22;26
2015-05-18-07-15-00;85;40;45
2015-05-18-07-30-00;119;71;48
2015-05-18-07-45-00;112;59;53
2015-05-18-08-00-00;114;64;50
2015-05-18-08-15-00;99;54;45
2015-05-18-08-30-00;93;43;50
2015-05-18-08-45-00;108;56;52
2015-05-18-09-00-00;72;39;33
2015-05-18-09-15-00;70;37;33
2015-05-18-09-30-00;63;36;27
2015-05-18-09-45-00;58;32;26
2015-05-18-10-00-00;54;29;25
2015-05-18-10-15-00;54;20;34
2015-05-18-10-30-00;44;23;21
2015-05-18-10-45-00;58;23;35
2015-05-18-11-00-00;44;15;29
2015-05-18-11-15-00;53;9;44
2015-05-18-11-30-00;54;18;36
2015-05-18-11-45-00;60;17;43
2015-05-18-12-00-00;73;24;49
2015-05-18-12-15-00;75;10;65
2015-05-18-12-30-00;65;14;51
2015-05-18-12-45-00;62;14;48
2015-05-18-13-00-00;64;8;56
2015-05-18-13-15-00;83;29;54
2015-05-18-13-30-00;84;16;68
2015-05-18-13-45-00;71;17;54
2015-05-18-14-00-00;88;20;68
2015-05-18-14-15-00;85;21;64
2015-05-18-14-30-00;65;18;47
2015-05-18-14-45-00;81;20;61
2015-05-18-15-00-00;82;20;62
2015-05-18-15-15-00;111;30;81
2015-05-18-15-30-00;119;24;95
2015-05-18-15-45-00;95;21;74
2015-05-18-16-00-00;147;27;120
2015-05-18-16-15-00;119;23;96
2015-05-18-16-30-00;149;21;128
2015-05-18-16-45-00;160;32;128
2015-05-18-17-00-00;140;23;117
2015-05-18-17-15-00;112;16;96
2015-05-18-17-30-00;133;27;106
2015-05-18-17-45-00;190;31;159
2015-05-18-18-00-00;175;36;139
2015-05-18-18-15-00;157;31;126
2015-05-18-18-30-00;155;33;122
2015-05-18-18-45-00;151;28;123
2015-05-18-19-00-00;128;20;108
2015-05-18-19-15-00;93;20;73
2015-05-18-19-30-00;110;25;85
2015-05-18-19-45-00;87;12;75
2015-05-18-20-00-00;87;12;75
2015-05-18-20-15-00;77;12;65
2015-05-18-20-30-00;36;7;29
2015-05-18-20-45-00;41;10;31
2015-05-18-21-00-00;39;9;30
2015-05-18-21-15-00;45;10;35
2015-05-18-21-30-00;25;1;24
2015-05-18-21-45-00;35;9;26
2015-05-18-22-00-00;33;10;23
2015-05-18-22-15-00;41;8;33
2015-05-18-22-30-00;25;1;24
2015-05-18-22-45-00;26;4;22
2015-05-18-23-00-00;20;5;15
2015-05-18-23-15-00;14;1;13
2015-05-18-23-30-00;14;4;10
2015-05-18-23-45-00;5;0;5
2015-05-19-00-00-00;9;2;7
2015-05-19-00-15-00;2;0;2
2015-05-19-00-30-00;7;0;7
2015-05-19-00-45-00;0;0;0
2015-05-19-01-00-00;5;0;5
2015-05-19-01-15-00;4;0;4
2015-05-19-01-30-00;2;1;1
2015-05-19-01-45-00;3;0;3
2015-05-19-02-00-00;1;0;1
2015-05-19-02-15-00;1;0;1
2015-05-19-02-30-00;1;0;1
2015-05-19-02-45-00;1;0;1
2015-05-19-03-00-00;0;0;0
2015-05-19-03-15-00;0;0;0
2015-05-19-03-30-00;1;0;1
2015-05-19-03-45-00;2;0;2
2015-05-19-04-00-00;1;1;0
2015-05-19-04-15-00;1;1;0
2015-05-19-04-30-00;5;3;2
2015-05-19-04-45-00;2;0;2
2015-05-19-05-00-00;4;2;2
2015-05-19-05-15-00;5;2;3
2015-05-19-05-30-00;11;3;8
2015-05-19-05-45-00;14;8;6
2015-05-19-06-00-00;23;10;13
2015-05-19-06-15-00;25;11;14
2015-05-19-06-30-00;32;15;17
2015-05-19-06-45-00;37;18;19
2015-05-19-07-00-00;59;23;36
2015-05-19-07-15-00;102;51;51
2015-05-19-07-30-00;124;72;52
2015-05-19-07-45-00;103;56;47
2015-05-19-08-00-00;98;55;43
2015-05-19-08-15-00;104;59;45
2015-05-19-08-30-00;118;52;66
2015-05-19-08-45-00;107;60;47
2015-05-19-09-00-00;60;36;24
2015-05-19-09-15-00;57;35;22
2015-05-19-09-30-00;54;36;18
2015-05-19-09-45-00;63;29;34
2015-05-19-10-00-00;67;31;36
2015-05-19-10-15-00;55;26;29
2015-05-19-10-30-00;37;9;28
2015-05-19-10-45-00;41;15;26
2015-05-19-11-00-00;45;11;34
2015-05-19-11-15-00;42;11;31
2015-05-19-11-30-00;42;11;31
2015-05-19-11-45-00;59;23;36
2015-05-19-12-00-00;63;14;49
2015-05-19-12-15-00;75;19;56
2015-05-19-12-30-00;66;11;55
2015-05-19-12-45-00;68;14;54
2015-05-19-13-00-00;68;17;51
2015-05-19-13-15-00;88;23;65
2015-05-19-13-30-00;66;16;50
2015-05-19-13-45-00;68;21;47
2015-05-19-14-00-00;78;16;62
2015-05-19-14-15-00;81;17;64
2015-05-19-14-30-00;74;12;62
2015-05-19-14-45-00;71;16;55
2015-05-19-15-00-00;93;17;76
2015-05-19-15-15-00;85;23;62
2015-05-19-15-30-00;91;15;76
2015-05-19-15-45-00;106;14;92
2015-05-19-16-00-00;125;28;97
2015-05-19-16-15-00;135;23;112
2015-05-19-16-30-00;122;20;102
2015-05-19-16-45-00;133;21;112
2015-05-19-17-00-00;114;13;101
2015-05-19-17-15-00;147;16;131
2015-05-19-17-30-00;149;35;114
2015-05-19-17-45-00;105;29;76
2015-05-19-18-00-00;141;24;117
2015-05-19-18-15-00;131;18;113
2015-05-19-18-30-00;117;14;103
2015-05-19-18-45-00;134;30;104
2015-05-19-19-00-00;105;14;91
2015-05-19-19-15-00;85;20;65
2015-05-19-19-30-00;86;12;74
2015-05-19-19-45-00;79;12;67
2015-05-19-20-00-00;95;29;66
2015-05-19-20-15-00;74;12;62
2015-05-19-20-30-00;58;10;48
2015-05-19-20-45-00;59;4;55
2015-05-19-21-00-00;59;6;53
2015-05-19-21-15-00;36;11;25
2015-05-19-21-30-00;42;8;34
2015-05-19-21-45-00;61;9;52
2015-05-19-22-00-00;58;5;53
2015-05-19-22-15-00;51;2;49
2015-05-19-22-30-00;44;4;40
2015-05-19-22-45-00;23;4;19
2015-05-19-23-00-00;43;3;40
2015-05-19-23-15-00;22;0;22
2015-05-19-23-30-00;72;8;64
2015-05-19-23-45-00;42;3;39
2015-05-20-00-00-00;44;1;43
2015-05-20-00-15-00;26;3;23
2015-05-20-00-30-00;26;4;22
2015-05-20-00-45-00;4;2;2
2015-05-20-01-00-00;10;4;6
2015-05-20-01-15-00;13;5;8
2015-05-20-01-30-00;9;8;1
2015-05-20-01-45-00;14;11;3
2015-05-20-02-00-00;11;10;1
2015-05-20-02-15-00;4;4;0
2015-05-20-02-30-00;11;10;1
2015-05-20-02-45-00;16;7;9
2015-05-20-03-00-00;17;15;2
2015-05-20-03-15-00;15;13;2
2015-05-20-03-30-00;18;18;0
2015-05-20-03-45-00;32;29;3
2015-05-20-04-00-00;14;10;4
2015-05-20-04-15-00;34;33;1
2015-05-20-04-30-00;18;13;5
2015-05-20-04-45-00;10;6;4
2015-05-20-05-00-00;11;10;1
2015-05-20-05-15-00;8;6;2
2015-05-20-05-30-00;13;7;6
2015-05-20-05-45-00;8;6;2
2015-05-20-06-00-00;23;8;15
2015-05-20-06-15-00;29;15;14
2015-05-20-06-30-00;27;12;15
2015-05-20-06-45-00;29;10;19
2015-05-20-07-00-00;51;26;25
2015-05-20-07-15-00;80;39;41
2015-05-20-07-30-00;89;42;47
2015-05-20-07-45-00;100;45;55
2015-05-20-08-00-00;61;43;18
2015-05-20-08-15-00;112;59;53
2015-05-20-08-30-00;86;43;43
2015-05-20-08-45-00;100;45;55
2015-05-20-09-00-00;79;44;35
2015-05-20-09-15-00;76;34;42
2015-05-20-09-30-00;64;35;29
2015-05-20-09-45-00;70;43;27
2015-05-20-10-00-00;49;25;24
2015-05-20-10-15-00;41;22;19
2015-05-20-10-30-00;52;19;33
2015-05-20-10-45-00;43;19;24
2015-05-20-11-00-00;40;14;26
2015-05-20-11-15-00;45;18;27
2015-05-20-11-30-00;57;18;39
2015-05-20-11-45-00;36;11;25
2015-05-20-12-00-00;49;14;35
2015-05-20-12-15-00;64;12;52
2015-05-20-12-30-00;43;6;37
2015-05-20-12-45-00;56;8;48
2015-05-20-13-00-00;75;7;68
2015-05-20-13-15-00;68;11;57
2015-05-20-13-30-00;67;11;56
2015-05-20-13-45-00;70;14;56
2015-05-20-14-00-00;75;17;58
2015-05-20-14-15-00;62;15;47
2015-05-20-14-30-00;69;14;55
2015-05-20-14-45-00;65;15;50
2015-05-20-15-00-00;61;10;51
2015-05-20-15-15-00;66;15;51
2015-05-20-15-30-00;79;12;67
2015-05-20-15-45-00;90;10;80
2015-05-20-16-00-00;123;23;100
2015-05-20-16-15-00;102;13;89
2015-05-20-16-30-00;121;27;94
2015-05-20-16-45-00;133;28;105
2015-05-20-17-00-00;120;22;98
2015-05-20-17-15-00;125;24;101
2015-05-20-17-30-00;125;15;110
2015-05-20-17-45-00;124;23;101
2015-05-20-18-00-00;130;22;108
2015-05-20-18-15-00;141;27;114
2015-05-20-18-30-00;118;26;92
2015-05-20-18-45-00;114;21;93
2015-05-20-19-00-00;92;21;71
2015-05-20-19-15-00;117;23;94
2015-05-20-19-30-00;97;17;80
2015-05-20-19-45-00;77;11;66
2015-05-20-20-00-00;90;26;64
2015-05-20-20-15-00;60;8;52
2015-05-20-20-30-00;51;3;48
2015-05-20-20-45-00;39;8;31
2015-05-20-21-00-00;35;9;26
2015-05-20-21-15-00;49;12;37
2015-05-20-21-30-00;26;6;20
2015-05-20-21-45-00;56;16;40
2015-05-20-22-00-00;40;8;32
2015-05-20-22-15-00;36;4;32
2015-05-20-22-30-00;19;2;17
2015-05-20-22-45-00;32;10;22
2015-05-20-23-00-00;29;0;29
2015-05-20-23-15-00;35;5;30
2015-05-20-23-30-00;17;2;15
2015-05-20-23-45-00;10;2;8
2015-05-21-00-00-00;14;0;14
2015-05-21-00-15-00;7;1;6
2015-05-21-00-30-00;3;0;3
2015-05-21-00-45-00;4;0;4
2015-05-21-01-00-00;2;0;2
2015-05-21-01-15-00;2;1;1
2015-05-21-01-30-00;2;2;0
2015-05-21-01-45-00;1;0;1
2015-05-21-02-00-00;2;1;1
2015-05-21-02-15-00;3;0;3
2015-05-21-02-30-00;3;1;2
2015-05-21-02-45-00;1;0;1
2015-05-21-03-00-00;2;0;2
2015-05-21-03-15-00;0;0;0
2015-05-21-03-30-00;0;0;0
2015-05-21-03-45-00;1;0;1
2015-05-21-04-00-00;2;2;0
2015-05-21-04-15-00;2;2;0
2015-05-21-04-30-00;4;0;4
2015-05-21-04-45-00;2;1;1
2015-05-21-05-00-00;3;1;2
2015-05-21-05-15-00;6;2;4
2015-05-21-05-30-00;9;6;3
2015-05-21-05-45-00;12;6;6
2015-05-21-06-00-00;16;4;12
2015-05-21-06-15-00;31;15;16
2015-05-21-06-30-00;33;14;19
2015-05-21-06-45-00;39;13;26
2015-05-21-07-00-00;47;23;24
2015-05-21-07-15-00;77;34;43
2015-05-21-07-30-00;105;58;47
2015-05-21-07-45-00;109;65;44
2015-05-21-08-00-00;96;56;40
2015-05-21-08-15-00;105;60;45
2015-05-21-08-30-00;104;47;57
2015-05-21-08-45-00;111;54;57
2015-05-21-09-00-00;79;43;36
2015-05-21-09-15-00;46;29;17
2015-05-21-09-30-00;56;22;34
2015-05-21-09-45-00;62;35;27
2015-05-21-10-00-00;55;25;30
2015-05-21-10-15-00;56;24;32
2015-05-21-10-30-00;35;17;18
2015-05-21-10-45-00;69;32;37
2015-05-21-11-00-00;50;15;35
2015-05-21-11-15-00;49;16;33
2015-05-21-11-30-00;45;17;28
2015-05-21-11-45-00;61;21;40
2015-05-21-12-00-00;64;24;40
2015-05-21-12-15-00;73;20;53
2015-05-21-12-30-00;58;11;47
2015-05-21-12-45-00;73;15;58
2015-05-21-13-00-00;76;17;59
2015-05-21-13-15-00;73;12;61
2015-05-21-13-30-00;86;18;68
2015-05-21-13-45-00;96;27;69
2015-05-21-14-00-00;72;22;50
2015-05-21-14-15-00;76;16;60
