 ,5.09 BN - Rhenusallee ,5.09 BN - Rhenusallee Radfahrer Ri. Beuel ,5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel
2015-05-15-00-00-00,2,2,0
2015-05-15-00-15-00,0,0,0
2015-05-15-00-30-00,0,0,0
2015-05-15-00-45-00,0,0,0
2015-05-15-01-00-00,2,1,1
2015-05-15-01-15-00,0,0,0
2015-05-15-01-30-00,1,0,1
2015-05-15-01-45-00,0,0,0
2015-05-15-02-00-00,0,0,0
2015-05-15-02-15-00,0,0,0
2015-05-15-02-30-00,0,0,0
2015-05-15-02-45-00,0,0,0
2015-05-15-03-00-00,1,0,1
2015-05-15-03-15-00,0,0,0
2015-05-15-03-30-00,0,0,0
2015-05-15-03-45-00,0,0,0
2015-05-15-04-00-00,0,0,0
2015-05-15-04-15-00,0,0,0
2015-05-15-04-30-00,0,0,0
2015-05-15-04-45-00,1,0,1
2015-05-15-05-00-00,0,0,0
2015-05-15-05-15-00,0,0,0
2015-05-15-05-30-00,1,0,1
2015-05-15-05-45-00,2,0,2
2015-05-15-06-00-00,6,1,5
2015-05-15-06-15-00,7,4,3
2015-05-15-06-30-00,5,4,1
2015-05-15-06-45-00,4,1,3
2015-05-15-07-00-00,9,5,4
2015-05-15-07-15-00,8,2,6
2015-05-15-07-30-00,12,1,11
2015-05-15-07-45-00,19,10,9
2015-05-15-08-00-00,24,9,15
2015-05-15-08-15-00,17,5,12
2015-05-15-08-30-00,22,6,16
2015-05-15-08-45-00,24,5,19
2015-05-15-09-00-00,10,7,3
2015-05-15-09-15-00,24,12,12
2015-05-15-09-30-00,11,1,10
2015-05-15-09-45-00,17,5,12
2015-05-15-10-00-00,17,12,5
2015-05-15-10-15-00,10,6,4
2015-05-15-10-30-00,12,3,9
2015-05-15-10-45-00,22,9,13
2015-05-15-11-00-00,33,21,12
2015-05-15-11-15-00,16,11,5
2015-05-15-11-30-00,25,9,16
2015-05-15-11-45-00,9,6,3
2015-05-15-12-00-00,44,18,26
2015-05-15-12-15-00,23,7,16
2015-05-15-12-30-00,33,18,15
2015-05-15-12-45-00,35,16,19
2015-05-15-13-00-00,24,12,12
2015-05-15-13-15-00,27,12,15
2015-05-15-13-30-00,39,23,16
2015-05-15-13-45-00,20,5,15
2015-05-15-14-00-00,44,25,19
2015-05-15-14-15-00,47,19,28
2015-05-15-14-30-00,70,20,50
2015-05-15-14-45-00,46,23,23
2015-05-15-15-00-00,64,30,34
2015-05-15-15-15-00,58,35,23
2015-05-15-15-30-00,60,23,37
2015-05-15-15-45-00,57,37,20
2015-05-15-16-00-00,54,25,29
2015-05-15-16-15-00,53,24,29
2015-05-15-16-30-00,60,36,24
2015-05-15-16-45-00,75,43,32
2015-05-15-17-00-00,65,32,33
2015-05-15-17-15-00,63,33,30
2015-05-15-17-30-00,69,35,34
2015-05-15-17-45-00,49,28,21
2015-05-15-18-00-00,59,31,28
2015-05-15-18-15-00,62,32,30
2015-05-15-18-30-00,64,34,30
2015-05-15-18-45-00,45,25,20
2015-05-15-19-00-00,48,29,19
2015-05-15-19-15-00,61,37,24
2015-05-15-19-30-00,36,23,13
2015-05-15-19-45-00,57,24,33
2015-05-15-20-00-00,28,17,11
2015-05-15-20-15-00,27,17,10
2015-05-15-20-30-00,27,13,14
2015-05-15-20-45-00,33,19,14
2015-05-15-21-00-00,13,8,5
2015-05-15-21-15-00,19,8,11
2015-05-15-21-30-00,19,17,2
2015-05-15-21-45-00,11,6,5
2015-05-15-22-00-00,13,7,6
2015-05-15-22-15-00,6,5,1
2015-05-15-22-30-00,4,1,3
2015-05-15-22-45-00,1,1,0
2015-05-15-23-00-00,5,5,0
2015-05-15-23-15-00,4,2,2
2015-05-15-23-30-00,1,1,0
2015-05-15-23-45-00,1,0,1
2015-05-16-00-00-00,1,1,0
2015-05-16-00-15-00,1,0,1
2015-05-16-00-30-00,4,2,2
2015-05-16-00-45-00,0,0,0
2015-05-16-01-00-00,0,0,0
2015-05-16-01-15-00,0,0,0
2015-05-16-01-30-00,3,3,0
2015-05-16-01-45-00,0,0,0
2015-05-16-02-00-00,1,0,1
2015-05-16-02-15-00,0,0,0
2015-05-16-02-30-00,1,1,0
2015-05-16-02-45-00,0,0,0
2015-05-16-03-00-00,0,0,0
2015-05-16-03-15-00,0,0,0
2015-05-16-03-30-00,1,1,0
2015-05-16-03-45-00,0,0,0
2015-05-16-04-00-00,2,0,2
2015-05-16-04-15-00,1,1,0
2015-05-16-04-30-00,0,0,0
2015-05-16-04-45-00,0,0,0
2015-05-16-05-00-00,0,0,0
2015-05-16-05-15-00,4,0,4
2015-05-16-05-30-00,2,1,1
2015-05-16-05-45-00,1,0,1
2015-05-16-06-00-00,3,2,1
2015-05-16-06-15-00,2,1,1
2015-05-16-06-30-00,6,2,4
2015-05-16-06-45-00,11,0,11
2015-05-16-07-00-00,6,3,3
2015-05-16-07-15-00,7,1,6
2015-05-16-07-30-00,3,2,1
2015-05-16-07-45-00,10,4,6
2015-05-16-08-00-00,6,4,2
2015-05-16-08-15-00,5,2,3
2015-05-16-08-30-00,26,7,19
2015-05-16-08-45-00,20,10,10
2015-05-16-09-00-00,8,5,3
2015-05-16-09-15-00,15,5,10
2015-05-16-09-30-00,25,9,16
2015-05-16-09-45-00,35,19,16
2015-05-16-10-00-00,34,17,17
2015-05-16-10-15-00,46,12,34
2015-05-16-10-30-00,37,18,19
2015-05-16-10-45-00,58,22,36
2015-05-16-11-00-00,58,19,39
2015-05-16-11-15-00,34,14,20
2015-05-16-11-30-00,36,22,14
2015-05-16-11-45-00,61,22,39
2015-05-16-12-00-00,58,19,39
2015-05-16-12-15-00,54,34,20
2015-05-16-12-30-00,37,22,15
2015-05-16-12-45-00,50,35,15
2015-05-16-13-00-00,53,28,25
2015-05-16-13-15-00,60,33,27
2015-05-16-13-30-00,44,34,10
2015-05-16-13-45-00,45,28,17
2015-05-16-14-00-00,45,27,18
2015-05-16-14-15-00,61,25,36
2015-05-16-14-30-00,35,25,10
2015-05-16-14-45-00,54,27,27
2015-05-16-15-00-00,42,19,23
2015-05-16-15-15-00,42,26,16
2015-05-16-15-30-00,29,16,13
2015-05-16-15-45-00,42,20,22
2015-05-16-16-00-00,36,31,5
2015-05-16-16-15-00,38,25,13
2015-05-16-16-30-00,40,27,13
2015-05-16-16-45-00,25,14,11
2015-05-16-17-00-00,17,8,9
2015-05-16-17-15-00,31,16,15
2015-05-16-17-30-00,23,18,5
2015-05-16-17-45-00,29,22,7
2015-05-16-18-00-00,30,24,6
2015-05-16-18-15-00,21,8,13
2015-05-16-18-30-00,14,6,8
2015-05-16-18-45-00,12,5,7
2015-05-16-19-00-00,6,2,4
2015-05-16-19-15-00,18,15,3
2015-05-16-19-30-00,12,9,3
2015-05-16-19-45-00,9,5,4
2015-05-16-20-00-00,7,2,5
2015-05-16-20-15-00,8,7,1
2015-05-16-20-30-00,4,2,2
2015-05-16-20-45-00,3,1,2
2015-05-16-21-00-00,4,1,3
2015-05-16-21-15-00,2,2,0
2015-05-16-21-30-00,2,0,2
2015-05-16-21-45-00,7,4,3
2015-05-16-22-00-00,3,2,1
2015-05-16-22-15-00,2,2,0
2015-05-16-22-30-00,3,2,1
2015-05-16-22-45-00,5,2,3
2015-05-16-23-00-00,2,2,0
2015-05-16-23-15-00,1,1,0
2015-05-16-23-30-00,0,0,0
2015-05-16-23-45-00,1,1,0
2015-05-17-00-00-00,3,1,2
2015-05-17-00-15-00,0,0,0
2015-05-17-00-30-00,6,4,2
2015-05-17-00-45-00,0,0,0
2015-05-17-01-00-00,0,0,0
2015-05-17-01-15-00,1,1,0
2015-05-17-01-30-00,1,1,0
2015-05-17-01-45-00,0,0,0
2015-05-17-02-00-00,1,1,0
2015-05-17-02-15-00,4,3,1
2015-05-17-02-30-00,2,0,2
2015-05-17-02-45-00,0,0,0
2015-05-17-03-00-00,0,0,0
2015-05-17-03-15-00,0,0,0
2015-05-17-03-30-00,1,0,1
2015-05-17-03-45-00,0,0,0
2015-05-17-04-00-00,0,0,0
2015-05-17-04-15-00,0,0,0
2015-05-17-04-30-00,3,3,0
2015-05-17-04-45-00,1,0,1
2015-05-17-05-00-00,0,0,0
2015-05-17-05-15-00,0,0,0
2015-05-17-05-30-00,2,1,1
2015-05-17-05-45-00,0,0,0
2015-05-17-06-00-00,1,0,1
2015-05-17-06-15-00,2,1,1
2015-05-17-06-30-00,1,1,0
2015-05-17-06-45-00,1,1,0
2015-05-17-07-00-00,1,0,1
2015-05-17-07-15-00,2,1,1
2015-05-17-07-30-00,6,4,2
2015-05-17-07-45-00,8,2,6
2015-05-17-08-00-00,4,0,4
2015-05-17-08-15-00,7,3,4
2015-05-17-08-30-00,11,3,8
2015-05-17-08-45-00,11,7,4
2015-05-17-09-00-00,11,6,5
2015-05-17-09-15-00,15,7,8
2015-05-17-09-30-00,16,10,6
2015-05-17-09-45-00,25,12,13
2015-05-17-10-00-00,23,10,13
2015-05-17-10-15-00,32,13,19
2015-05-17-10-30-00,46,15,31
2015-05-17-10-45-00,79,56,23
2015-05-17-11-00-00,72,27,45
2015-05-17-11-15-00,80,27,53
2015-05-17-11-30-00,56,25,31
2015-05-17-11-45-00,91,43,48
2015-05-17-12-00-00,79,13,66
2015-05-17-12-15-00,85,45,40
2015-05-17-12-30-00,63,28,35
2015-05-17-12-45-00,105,47,58
2015-05-17-13-00-00,79,39,40
2015-05-17-13-15-00,108,62,46
2015-05-17-13-30-00,80,38,42
2015-05-17-13-45-00,87,40,47
2015-05-17-14-00-00,95,49,46
2015-05-17-14-15-00,122,59,63
2015-05-17-14-30-00,113,61,52
2015-05-17-14-45-00,98,55,43
2015-05-17-15-00-00,109,59,50
2015-05-17-15-15-00,120,71,49
2015-05-17-15-30-00,124,66,58
2015-05-17-15-45-00,106,60,46
2015-05-17-16-00-00,92,54,38
2015-05-17-16-15-00,119,80,39
2015-05-17-16-30-00,67,37,30
2015-05-17-16-45-00,117,59,58
2015-05-17-17-00-00,93,60,33
2015-05-17-17-15-00,61,31,30
2015-05-17-17-30-00,114,65,49
2015-05-17-17-45-00,72,51,21
2015-05-17-18-00-00,59,32,27
2015-05-17-18-15-00,56,29,27
2015-05-17-18-30-00,78,58,20
2015-05-17-18-45-00,51,26,25
2015-05-17-19-00-00,34,21,13
2015-05-17-19-15-00,31,22,9
2015-05-17-19-30-00,39,26,13
2015-05-17-19-45-00,29,18,11
2015-05-17-20-00-00,23,12,11
2015-05-17-20-15-00,17,7,10
2015-05-17-20-30-00,29,11,18
2015-05-17-20-45-00,17,11,6
2015-05-17-21-00-00,9,4,5
2015-05-17-21-15-00,7,6,1
2015-05-17-21-30-00,1,1,0
2015-05-17-21-45-00,3,2,1
2015-05-17-22-00-00,2,1,1
2015-05-17-22-15-00,4,1,3
2015-05-17-22-30-00,1,1,0
2015-05-17-22-45-00,0,0,0
2015-05-17-23-00-00,0,0,0
2015-05-17-23-15-00,0,0,0
2015-05-17-23-30-00,2,2,0
2015-05-17-23-45-00,0,0,0
2015-05-18-00-00-00,1,0,1
2015-05-18-00-15-00,1,1,0
2015-05-18-00-30-00,0,0,0
2015-05-18-00-45-00,0,0,0
2015-05-18-01-00-00,0,0,0
2015-05-18-01-15-00,0,0,0
2015-05-18-01-30-00,0,0,0
2015-05-18-01-45-00,0,0,0
2015-05-18-02-00-00,0,0,0
2015-05-18-02-15-00,0,0,0
2015-05-18-02-30-00,0,0,0
2015-05-18-02-45-00,0,0,0
2015-05-18-03-00-00,0,0,0
2015-05-18-03-15-00,0,0,0
2015-05-18-03-30-00,0,0,0
2015-05-18-03-45-00,0,0,0
2015-05-18-04-00-00,0,0,0
2015-05-18-04-15-00,0,0,0
2015-05-18-04-30-00,1,0,1
2015-05-18-04-45-00,2,1,1
2015-05-18-05-00-00,0,0,0
2015-05-18-05-15-00,0,0,0
2015-05-18-05-30-00,1,0,1
2015-05-18-05-45-00,7,1,6
2015-05-18-06-00-00,6,4,2
2015-05-18-06-15-00,7,1,6
2015-05-18-06-30-00,11,6,5
2015-05-18-06-45-00,17,8,9
2015-05-18-07-00-00,32,16,16
2015-05-18-07-15-00,45,18,27
2015-05-18-07-30-00,43,16,27
2015-05-18-07-45-00,40,9,31
2015-05-18-08-00-00,56,8,48
2015-05-18-08-15-00,74,13,61
2015-05-18-08-30-00,51,14,37
2015-05-18-08-45-00,45,7,38
2015-05-18-09-00-00,35,4,31
2015-05-18-09-15-00,26,10,16
2015-05-18-09-30-00,29,15,14
2015-05-18-09-45-00,21,6,15
2015-05-18-10-00-00,18,6,12
2015-05-18-10-15-00,15,9,6
2015-05-18-10-30-00,21,10,11
2015-05-18-10-45-00,32,13,19
2015-05-18-11-00-00,26,11,15
2015-05-18-11-15-00,26,17,9
2015-05-18-11-30-00,27,10,17
2015-05-18-11-45-00,27,16,11
2015-05-18-12-00-00,25,14,11
2015-05-18-12-15-00,24,15,9
2015-05-18-12-30-00,33,16,17
2015-05-18-12-45-00,25,12,13
2015-05-18-13-00-00,31,16,15
2015-05-18-13-15-00,24,9,15
2015-05-18-13-30-00,21,14,7
2015-05-18-13-45-00,32,13,19
2015-05-18-14-00-00,30,17,13
2015-05-18-14-15-00,23,18,5
2015-05-18-14-30-00,28,12,16
2015-05-18-14-45-00,41,24,17
2015-05-18-15-00-00,39,23,16
2015-05-18-15-15-00,47,26,21
2015-05-18-15-30-00,43,25,18
2015-05-18-15-45-00,32,21,11
2015-05-18-16-00-00,48,31,17
2015-05-18-16-15-00,50,26,24
2015-05-18-16-30-00,80,62,18
2015-05-18-16-45-00,80,54,26
2015-05-18-17-00-00,77,51,26
2015-05-18-17-15-00,67,47,20
2015-05-18-17-30-00,64,34,30
2015-05-18-17-45-00,77,46,31
2015-05-18-18-00-00,81,50,31
2015-05-18-18-15-00,71,47,24
2015-05-18-18-30-00,70,40,30
2015-05-18-18-45-00,52,31,21
2015-05-18-19-00-00,45,25,20
2015-05-18-19-15-00,38,23,15
2015-05-18-19-30-00,26,16,10
2015-05-18-19-45-00,38,24,14
2015-05-18-20-00-00,29,20,9
2015-05-18-20-15-00,20,6,14
2015-05-18-20-30-00,29,22,7
2015-05-18-20-45-00,14,8,6
2015-05-18-21-00-00,15,10,5
2015-05-18-21-15-00,8,6,2
2015-05-18-21-30-00,6,2,4
2015-05-18-21-45-00,9,4,5
2015-05-18-22-00-00,3,1,2
2015-05-18-22-15-00,1,1,0
2015-05-18-22-30-00,4,0,4
2015-05-18-22-45-00,3,1,2
2015-05-18-23-00-00,1,0,1
2015-05-18-23-15-00,1,1,0
2015-05-18-23-30-00,1,0,1
2015-05-18-23-45-00,3,3,0
2015-05-19-00-00-00,0,0,0
2015-05-19-00-15-00,0,0,0
2015-05-19-00-30-00,0,0,0
2015-05-19-00-45-00,0,0,0
2015-05-19-01-00-00,0,0,0
2015-05-19-01-15-00,0,0,0
2015-05-19-01-30-00,2,0,2
2015-05-19-01-45-00,1,0,1
2015-05-19-02-00-00,0,0,0
2015-05-19-02-15-00,0,0,0
2015-05-19-02-30-00,0,0,0
2015-05-19-02-45-00,0,0,0
2015-05-19-03-00-00,1,1,0
2015-05-19-03-15-00,0,0,0
2015-05-19-03-30-00,0,0,0
2015-05-19-03-45-00,1,1,0
2015-05-19-04-00-00,0,0,0
2015-05-19-04-15-00,0,0,0
2015-05-19-04-30-00,0,0,0
2015-05-19-04-45-00,0,0,0
2015-05-19-05-00-00,0,0,0
2015-05-19-05-15-00,0,0,0
2015-05-19-05-30-00,0,0,0
2015-05-19-05-45-00,5,2,3
2015-05-19-06-00-00,10,6,4
2015-05-19-06-15-00,11,3,8
2015-05-19-06-30-00,10,3,7
2015-05-19-06-45-00,22,10,12
2015-05-19-07-00-00,19,7,12
2015-05-19-07-15-00,33,7,26
2015-05-19-07-30-00,56,21,35
2015-05-19-07-45-00,51,18,33
2015-05-19-08-00-00,55,15,40
2015-05-19-08-15-00,44,7,37
2015-05-19-08-30-00,55,13,42
2015-05-19-08-45-00,45,3,42
2015-05-19-09-00-00,32,11,21
2015-05-19-09-15-00,20,8,12
2015-05-19-09-30-00,15,8,7
2015-05-19-09-45-00,12,6,6
2015-05-19-10-00-00,12,6,6
2015-05-19-10-15-00,11,4,7
2015-05-19-10-30-00,8,4,4
2015-05-19-10-45-00,12,2,10
2015-05-19-11-00-00,16,13,3
2015-05-19-11-15-00,10,3,7
2015-05-19-11-30-00,14,8,6
2015-05-19-11-45-00,16,6,10
2015-05-19-12-00-00,19,8,11
2015-05-19-12-15-00,11,3,8
2015-05-19-12-30-00,14,8,6
2015-05-19-12-45-00,19,8,11
2015-05-19-13-00-00,24,14,10
2015-05-19-13-15-00,29,17,12
2015-05-19-13-30-00,21,10,11
2015-05-19-13-45-00,18,8,10
2015-05-19-14-00-00,16,7,9
2015-05-19-14-15-00,18,10,8
2015-05-19-14-30-00,21,13,8
2015-05-19-14-45-00,23,17,6
2015-05-19-15-00-00,31,15,16
2015-05-19-15-15-00,31,23,8
2015-05-19-15-30-00,28,20,8
2015-05-19-15-45-00,31,13,18
2015-05-19-16-00-00,31,16,15
2015-05-19-16-15-00,44,33,11
2015-05-19-16-30-00,47,29,18
2015-05-19-16-45-00,48,36,12
2015-05-19-17-00-00,44,30,14
2015-05-19-17-15-00,35,25,10
2015-05-19-17-30-00,48,37,11
2015-05-19-17-45-00,49,32,17
2015-05-19-18-00-00,47,31,16
2015-05-19-18-15-00,32,22,10
2015-05-19-18-30-00,37,22,15
2015-05-19-18-45-00,31,20,11
2015-05-19-19-00-00,32,19,13
2015-05-19-19-15-00,34,22,12
2015-05-19-19-30-00,24,8,16
2015-05-19-19-45-00,22,11,11
2015-05-19-20-00-00,18,8,10
2015-05-19-20-15-00,17,8,9
2015-05-19-20-30-00,11,7,4
2015-05-19-20-45-00,12,9,3
2015-05-19-21-00-00,12,10,2
2015-05-19-21-15-00,6,4,2
2015-05-19-21-30-00,7,5,2
2015-05-19-21-45-00,6,5,1
2015-05-19-22-00-00,2,0,2
2015-05-19-22-15-00,1,0,1
2015-05-19-22-30-00,5,3,2
2015-05-19-22-45-00,2,1,1
2015-05-19-23-00-00,2,0,2
2015-05-19-23-15-00,3,3,0
2015-05-19-23-30-00,1,0,1
2015-05-19-23-45-00,0,0,0
2015-05-20-00-00-00,0,0,0
2015-05-20-00-15-00,0,0,0
2015-05-20-00-30-00,2,2,0
2015-05-20-00-45-00,0,0,0
2015-05-20-01-00-00,0,0,0
2015-05-20-01-15-00,0,0,0
2015-05-20-01-30-00,1,1,0
2015-05-20-01-45-00,0,0,0
2015-05-20-02-00-00,0,0,0
2015-05-20-02-15-00,1,0,1
2015-05-20-02-30-00,0,0,0
2015-05-20-02-45-00,0,0,0
2015-05-20-03-00-00,0,0,0
2015-05-20-03-15-00,0,0,0
2015-05-20-03-30-00,0,0,0
2015-05-20-03-45-00,0,0,0
2015-05-20-04-00-00,0,0,0
2015-05-20-04-15-00,1,0,1
2015-05-20-04-30-00,2,0,2
2015-05-20-04-45-00,0,0,0
2015-05-20-05-00-00,3,1,2
2015-05-20-05-15-00,2,1,1
2015-05-20-05-30-00,1,0,1
2015-05-20-05-45-00,3,0,3
2015-05-20-06-00-00,6,2,4
2015-05-20-06-15-00,10,1,9
2015-05-20-06-30-00,12,8,4
2015-05-20-06-45-00,16,8,8
2015-05-20-07-00-00,20,10,10
2015-05-20-07-15-00,33,12,21
2015-05-20-07-30-00,49,22,27
2015-05-20-07-45-00,46,8,38
2015-05-20-08-00-00,46,11,35
2015-05-20-08-15-00,44,8,36
2015-05-20-08-30-00,57,16,41
2015-05-20-08-45-00,51,11,40
2015-05-20-09-00-00,35,8,27
2015-05-20-09-15-00,29,9,20
2015-05-20-09-30-00,20,9,11
2015-05-20-09-45-00,15,6,9
2015-05-20-10-00-00,19,8,11
2015-05-20-10-15-00,19,9,10
2015-05-20-10-30-00,15,8,7
2015-05-20-10-45-00,14,7,7
2015-05-20-11-00-00,18,9,9
2015-05-20-11-15-00,12,3,9
2015-05-20-11-30-00,18,12,6
2015-05-20-11-45-00,9,5,4
2015-05-20-12-00-00,20,12,8
2015-05-20-12-15-00,15,7,8
2015-05-20-12-30-00,16,3,13
2015-05-20-12-45-00,20,6,14
2015-05-20-13-00-00,21,9,12
2015-05-20-13-15-00,14,7,7
2015-05-20-13-30-00,16,10,6
2015-05-20-13-45-00,19,11,8
2015-05-20-14-00-00,17,10,7
2015-05-20-14-15-00,15,9,6
2015-05-20-14-30-00,27,14,13
2015-05-20-14-45-00,15,8,7
2015-05-20-15-00-00,49,26,23
2015-05-20-15-15-00,27,12,15
2015-05-20-15-30-00,24,13,11
2015-05-20-15-45-00,32,22,10
2015-05-20-16-00-00,39,22,17
2015-05-20-16-15-00,44,28,16
2015-05-20-16-30-00,41,25,16
2015-05-20-16-45-00,30,20,10
2015-05-20-17-00-00,39,23,16
2015-05-20-17-15-00,61,41,20
2015-05-20-17-30-00,40,29,11
2015-05-20-17-45-00,50,35,15
2015-05-20-18-00-00,51,37,14
2015-05-20-18-15-00,44,29,15
2015-05-20-18-30-00,41,32,9
2015-05-20-18-45-00,60,41,19
2015-05-20-19-00-00,57,37,20
2015-05-20-19-15-00,40,22,18
2015-05-20-19-30-00,42,25,17
2015-05-20-19-45-00,45,18,27
2015-05-20-20-00-00,28,14,14
2015-05-20-20-15-00,21,5,16
2015-05-20-20-30-00,24,12,12
2015-05-20-20-45-00,20,15,5
2015-05-20-21-00-00,8,6,2
2015-05-20-21-15-00,8,8,0
2015-05-20-21-30-00,16,8,8
2015-05-20-21-45-00,11,8,3
2015-05-20-22-00-00,3,1,2
2015-05-20-22-15-00,7,2,5
2015-05-20-22-30-00,3,2,1
2015-05-20-22-45-00,6,4,2
2015-05-20-23-00-00,3,3,0
2015-05-20-23-15-00,1,0,1
2015-05-20-23-30-00,1,1,0
2015-05-20-23-45-00,0,0,0
2015-05-21-00-00-00,2,0,2
2015-05-21-00-15-00,0,0,0
2015-05-21-00-30-00,2,1,1
2015-05-21-00-45-00,0,0,0
2015-05-21-01-00-00,0,0,0
2015-05-21-01-15-00,0,0,0
2015-05-21-01-30-00,0,0,0
2015-05-21-01-45-00,0,0,0
2015-05-21-02-00-00,1,1,0
2015-05-21-02-15-00,0,0,0
2015-05-21-02-30-00,0,0,0
2015-05-21-02-45-00,0,0,0
2015-05-21-03-00-00,0,0,0
2015-05-21-03-15-00,1,0,1
2015-05-21-03-30-00,0,0,0
2015-05-21-03-45-00,0,0,0
2015-05-21-04-00-00,0,0,0
2015-05-21-04-15-00,0,0,0
2015-05-21-04-30-00,1,0,1
2015-05-21-04-45-00,0,0,0
2015-05-21-05-00-00,0,0,0
2015-05-21-05-15-00,3,3,0
2015-05-21-05-30-00,2,0,2
2015-05-21-05-45-00,1,0,1
2015-05-21-06-00-00,6,3,3
2015-05-21-06-15-00,13,4,9
2015-05-21-06-30-00,11,4,7
2015-05-21-06-45-00,19,9,10
2015-05-21-07-00-00,16,4,12
2015-05-21-07-15-00,43,15,28
2015-05-21-07-30-00,48,19,29
2015-05-21-07-45-00,55,13,42
2015-05-21-08-00-00,56,16,40
2015-05-21-08-15-00,65,16,49
2015-05-21-08-30-00,64,12,52
2015-05-21-08-45-00,49,8,41
2015-05-21-09-00-00,32,9,23
2015-05-21-09-15-00,26,6,20
2015-05-21-09-30-00,11,6,5
2015-05-21-09-45-00,17,7,10
2015-05-21-10-00-00,22,9,13
2015-05-21-10-15-00,23,12,11
2015-05-21-10-30-00,12,7,5
2015-05-21-10-45-00,24,15,9
2015-05-21-11-00-00,25,8,17
2015-05-21-11-15-00,20,12,8
2015-05-21-11-30-00,19,10,9
2015-05-21-11-45-00,20,11,9
2015-05-21-12-00-00,16,9,7
2015-05-21-12-15-00,21,10,11
2015-05-21-12-30-00,19,10,9
2015-05-21-12-45-00,24,18,6
2015-05-21-13-00-00,40,17,23
2015-05-21-13-15-00,26,9,17
2015-05-21-13-30-00,23,12,11
2015-05-21-13-45-00,25,9,16
2015-05-21-14-00-00,34,22,12
2015-05-21-14-15-00,34,26,8
2015-05-21-14-30-00,41,22,19
2015-05-21-14-45-00,32,16,16
2015-05-21-15-00-00,29,13,16
2015-05-21-15-15-00,39,17,22
2015-05-21-15-30-00,38,24,14
2015-05-21-15-45-00,37,28,9
2015-05-21-16-00-00,55,37,18
2015-05-21-16-15-00,57,34,23
2015-05-21-16-30-00,55,35,20
2015-05-21-16-45-00,80,48,32
2015-05-21-17-00-00,55,36,19
2015-05-21-17-15-00,78,53,25
2015-05-21-17-30-00,49,32,17
2015-05-21-17-45-00,75,49,26
2015-05-21-18-00-00,62,41,21
2015-05-21-18-15-00,56,43,13
2015-05-21-18-30-00,60,34,26
2015-05-21-18-45-00,37,22,15
2015-05-21-19-00-00,51,33,18
2015-05-21-19-15-00,42,25,17
2015-05-21-19-30-00,45,31,14
2015-05-21-19-45-00,36,17,19
2015-05-21-20-00-00,26,17,9
2015-05-21-20-15-00,23,15,8
2015-05-21-20-30-00,22,14,8
2015-05-21-20-45-00,13,9,4
2015-05-21-21-00-00,12,8,4
2015-05-21-21-15-00,12,6,6
2015-05-21-21-30-00,12,2,10
2015-05-21-21-45-00,7,3,4
2015-05-21-22-00-00,4,1,3
2015-05-21-22-15-00,5,3,2
2015-05-21-22-30-00,4,0,4
2015-05-21-22-45-00,6,4,2
2015-05-21-23-00-00,4,4,0
2015-05-21-23-15-00,1,0,1
2015-05-21-23-30-00,4,1,3
2015-05-21-23-45-00,1,0,1
2015-05-22-00-00-00,1,0,1
2015-05-22-00-15-00,0,0,0
2015-05-22-00-30-00,0,0,0
2015-05-22-00-45-00,0,0,0
2015-05-22-01-00-00,0,0,0
2015-05-22-01-15-00,2,0,2
2015-05-22-01-30-00,0,0,0
2015-05-22-01-45-00,0,0,0
2015-05-22-02-00-00,0,0,0
2015-05-22-02-15-00,0,0,0
2015-05-22-02-30-00,0,0,0
2015-05-22-02-45-00,1,0,1
2015-05-22-03-00-00,0,0,0
2015-05-22-03-15-00,0,0,0
2015-05-22-03-30-00,0,0,0
